ID Categoría,Nombre
1,Ausencia de conexión
2,Desconexión con el servidor
3,No guarda información en la base de datos
4,No funciona el correo
5,Se ha perdido la informacion de dias anteriores
6,No se envían las incidencias
7,No se reciben las incidencias
8,No enciende el ordenador
9,No me funciona el ratón
10,No me funciona el teclado
11,No me funciona la pantalla
12,No enciende el router
13,No enciende el servidor
14,No enciende el switch
15,Otros
